,FEOOS Event Date,Delivery Date,Brand Name,Item Name,Warehouse,Location Name,Overrode Skip Inventory Check (Yes / No),Skip OOS Orders,Quantity of FEOOS Items Requested in Sales Units
1,2026-04-23,2026-04-24,Monin,Monin Peach Smoothie 46oz,DFW1,White Rhino - ARLINGTON - 401 East Border St - Store #5,No,Disabled,2
2,2026-04-23,2026-04-24,Torani,Torani Salted Caramel Syrup 1L Plastic Bottle,DEN1,Oo-De-Lally Coffee - 200 Perry St,No,Disabled,1
3,2026-04-23,2026-04-24,Wholesome,Wholesome Fairtrade Raw Cane Sugar Packets,EWR1,Sweet Harbor Coffee - 1353 Old Northern Boulevard,No,Disabled,1
4,2026-04-23,2026-04-24,Viele & Sons,Honey Packets 9g,LAX1,Krisp Fresh Living - 15625 Alton Parkway,No,Disabled,1
5,2026-04-23,2026-04-24,Fever-Tree,Fever Tree Indian Premium Tonic 200ml,LAX1,Cafe Cito (Suavecito) - 400 West 4th Street,No,Disabled,1
6,2026-04-23,2026-04-25,Wholesome Sweetener,Wholesome Sweeteners - Organic Honey 5lb Bottle,EWR1,Foreigner NYC - 64 West 21st Street,No,Disabled,3
7,2026-04-23,2026-04-25,Matcha.com,Pura Vida Organic A grade (MKO-A) - 30g tin,LAX1,Pura Vida Miami - Malibu - 23465 Civic Center Way,No,Disabled,1
8,2026-04-23,2026-04-29,Karat,Karat Clear Vinyl Powder-Free Gloves - Large (FP-GV1008),CLT1,Haywood Famous - 508 Haywood Road,No,Disabled,1
9,2026-04-23,2026-04-24,Icelandic Glacial,Icelandic Sparkling Water 330ml Glass Bottle,LAX1,Chafinity - 3455 South Sheffield Road,No,Disabled,15
10,2026-04-23,2026-04-30,Fabbri 1905,Strawberry Delipaste,PWM1,Puritan Backroom Restaurant - 245 Hooksett Road,No,Disabled,12
11,2026-04-23,2026-04-28,Blue Durango,Blue Durango Iced Tea - Charmed Voodoo 16oz Can,ATL1,Liberty House Restaurant Corp. - Bone's - 3130 Piedmont Rd NE,No,Disabled,1
12,2026-04-23,2026-04-24,Fever-Tree,Fever Tree Indian Premium Tonic 200ml,LAX1,Phin Smith - 12921 Main Street,No,Disabled,1
13,2026-04-23,2026-04-28,Monin,Monin Coconut Syrup 750ml Glass,HOU1,Art Of Coffee - 1849 El Dorado Boulevard,No,Disabled,1
14,2026-04-23,2026-04-26,Toddy,Toddy Paper Filter & Strainer Pack,EWR1,Think Coffee - Nomad,No,Disabled,1
15,2026-04-23,2026-04-27,Kimbo Coffee,Kimbo Espresso Pods Napoli,ATL1,Liberty House Restaurant Corp. - Bone's - 3130 Piedmont Rd NE,No,Disabled,2
16,2026-04-23,2026-04-24,Rishi,Rishi Classic Black Iced Tea 1gal Filters,EWR1,Volare Espresso - 199 5th Avenue,No,Disabled,1
17,2026-04-23,2026-04-27,Liquid Death,Liquid Death Sparkling Water 19.2oz,ATL1,Cherry Street Energy - 1000 Marietta St NW,No,Disabled,3
18,2026-04-23,2026-04-24,Liquid Death,Liquid Death Sparkling Water 19.2oz,ATL1,BRASH Coffee Roasters - 1235 Chattahoochee Avenue Northwest,No,Disabled,1
19,2026-04-23,2026-04-24,Icelandic Glacial,Icelandic Sparkling Water 330ml Glass Bottle,LAX1,The Little Marionette - 3570 Motor Avenue,No,Disabled,1
20,2026-04-23,2026-04-25,Icelandic Glacial,Icelandic Sparkling Water 330ml Glass Bottle,LAX1,Reborn Coffee - 05-MV - 3180 North Sepulveda Boulevard,No,Disabled,1
21,2026-04-23,2026-04-30,Dreyers,Dreyers Tollhouse Sandwich,BLI1,MERIDIAN STORES LLC - JOE'S CHEVERON SEHOME,No,Disabled,4
22,2026-04-23,2026-04-24,Monin,Monin Sugar Free Caramel Syrup 1 Liter Plastic Bottle,DEN1,CSU - Sweet Sinsations,No,Disabled,2
